item,value
fueron trasladados,3
trasladados,8
fueron asesinados,35
rinde,41
llegando,8
ubicar,18
castellar,9
fueron interceptados,26
interceptados,26
finalmente dio,2
asesinarlos,21
señala,30
entregarle,1
precisó,10
haber suministrado,1
suministrado,2
obedecieron,3
disparar,5
registró,14
cumplir,15
habían,107
habían sido,11
habían sido citadas,1
sido citadas,1
citadas,2
acudido,1
aceptar,9
reportaron,1
informándole,3
habían sido señaladas,1
sido señaladas,1
señaladas,5
portando,23
procediendo,11
derribar,4
apoderarse,5
encontraron,28
fueron ejecutados,1
ejecutados,1
agregó,4
optaron,3
fueron reportados,1
reportados,1
encontrado,24
pertenecer,16
presenten,1
fueron sorprendidas,4
sorprendidas,4
había dado,10
ya habían,7
habían intentado,1
intentado,1
ya habían intentado,1
habían intentado asesinarlo,1
intentado asesinarlo,1
ya habían intentado asesinarlo,1
intervinieron,1
abordaron,4
manifestó haberle,1
haberle,2
manifestó haberle dado,1
haberle dado,2
disfrazarse,1
así proceder,1
proceder,8
efectivamente ocurrió,1
ocurrió,54
señalado,11
acepta haber sido,1
había recibido,5
recibido,21
además figura,1
figura,21
afirmó haber,2
afirmó haber sido,1
tratar,4
intervenir,1
pupy,1
fuera asesinado,2
desempeñando,5
afirmó haber recibido,1
haber recibido,5
iba,29
iba conduciendo,1
conduciendo,2
disparó ocasionándole,1
era señalada,13
manifestó haber,4
manifestó haber sido,2
manifestó haber sido informado,1
haber sido informado,1
sido informado,1
informado,3
huyeron,4
frustrar,1
contactó,2
entender,1
puesta,1
no podía,4
podía,6
podía relacionarse,1
relacionarse,1
no podía relacionarse,1
asfixiarlo,1
asfixiarlo enrollando,1
enrollando,1
causarle,9
seguidamente ubicaron,1
pareciera,1
trató,5
advirtió,2
ser remitido,1
debía ser,2
debía ser asesinado,2
ser asesinado,6
ya estaba,4
contrató,2
no eran,6
inhibe,1
abrir,4
haber participado,8
participado,10
disparo,5
causándole,16
aceptó haber,3
aceptó haber cometido,1
haber cometido,2
cometido,11
cayó,2
fuere,2
fuere victima,1
victima,21
profiere,2
condena,5
aceptó haber sido,1
coordinó,1
no formulo,1
formulo,1
asesinaron,93
haber denunciado,1
denunciado,1
capturarlo,1
logró fugarse,1
fugarse,2
departiendo,11
llevarlo,4
atarlo,2
aceptó haberle,1
aceptó haberle dado,1
hospedó,1
sorprendió,1
sorprendió disparándole,1
disparándole,4
huyendo,9
interceptada,22
trasladaron,51
asesinada,25
aceptó haber participado,1
manifestó haber recibido,1
haber salido,1
salido,2
había participado,1
había ordenado,1
ordenado,6
había ordenado ejecutar,1
ordenado ejecutar,1
quemar,1
había vuelto,1
vuelto,2
amarrarlo,3
trasladarlo,5
no oficio,1
oficio,1
comercializar,2
reconoció,18
cesar,20
era robado,1
robado,5
había visto,1
visto,6
había visto hablando,1
visto hablando,1
hablando,2
ordenó asesinarlo,2
extorsionando,1
quitaron,5
ronco,1
fuera retenido,1
retenido,69
posteriormente entregaron,2
entregaron,14
haciéndolo,2
haciéndolo pasar,1
pasar,15
exigieron,15
registrar,3
ordenó buscar,1
buscar,22
hacerlo,3
hacerlo pasar,1
engañar,1
contratarlo,1
allí procedió,1
diciéndoles,3
hicieron pasar,4
rada,1
había solicitado,2
pat-2001,1
titula había,1
titula había recibido,1
confiesa,59
posteriormente huir,1
huir,12
había contratado,1
contratado,1
ser abogado,1
abogado,1
hallaron muerto,1
muerto,6
interceptó,4
pendiendo,1
había ingresado,3
ingresado,6
ahorcada,1
dejado,9
dejado colgando,1
colgando,1
sorprendida,9
encontrando,14
impactarla,1
camacho,4
también aceptó,2
bajarla,1
aceptaron ser,2
charris,30
despojar,1
pide,2
pide detener,1
detener,6
produciéndole,1
caribe,1
titulado,1
ir,21
allí procedieron,7
apropiarse,10
seguidamente sacaron,1
sacaron,54
asesinarla,5
pabon,2
contactado,6
recoger,16
negó,15
seguir,9
seguir pagando,1
pagando,1
cadáver no,7
residir,1
fingiendo,1
fingiendo acercarse,1
acercarse,1
comprar,7
producirle,1
descansando,2
acercó,4
pidió,9
cogió,4
degolló,1
degolló quitándole,1
quitándole,1
inmediatamente después intento,1
después intento,1
intento,1
intento asesinar,1
inmediatamente después intento asesinar,1
después intento asesinar,1
defendió,2
gritar,2
capturaron,1
llama,4
dice,29
ocurrieron,25
arrendó,1
remodelaron,1
vencerse,1
pedimos,2
entregar,10
mandó,1
amenazar,3
no quiso,3
quiso,5
quiso vender,1
vender,15
no quiso vender,1
después llegaron,5
hablar,8
llegamos,10
abrieron,4
maniataron,2
hicieron firmar,1
firmar,3
matar,17
soltaron,4
dijeron,28
salvar,4
agrega,5
obligaron,66
corroborada,1
describe,6
aprovecharon,4
quiso someterse,1
someterse,3
no quiso someterse,1
venderles,1
dejarlo,3
parecer,30
omega,1
llamo,4
debía venderle,1
venderle,2
había hecho,8
hecho,17
citar,1
no iba,3
iba asistir,1
asistir,9
no iba asistir,1
ver,10
recogieron,1
solicito,3
estaba cortando,1
cortando,1
propino,2
forcejear,1
tomaron,5
había fallecido,2
fallecido,2
no había fallecido,1
habían dejado,1
irse,16
terminar,4
iban llegando,1
averiguaron,1
enteraron,5
acercaron,7
matarlo,4
además participaron,1
pulga,1
transmitió,2
apertura,2
avoca,5
causaron,15
había contactado,1
debían matar,1
había robado,2
define,1
lacera,1
califica,1
confirma,3
campo,2
no debían,2
debían ir,1
no debían ir,1
sucedió,13
manigua,1
temprano partieron,1
partieron,1
hablaron,2
regresaron,14
regresaron nunca supimos,1
nunca supimos,1
supimos,1
habló,6
siguieron,2
comunicarse,1
agacharon,1
